case_id,source_file,sha256,status,strict_snapshot_closed,provider_families
ca2-3ef6014a26a0b205a68e,ca2-3ef6014a26a0b205a68e.json,3ab02aa11614e3fdd0d47f43664bba4061ace7ed800a5a561d126e55c2891102,VERIFIED,True,alchemy|infura
ca2-3f7bb52435313429cfa7,ca2-3f7bb52435313429cfa7.json,fe375fcd3167c2cb3b3866e73e4deed4bb6f3cc29e4e38185f18915f58f1a0cf,VERIFIED,True,alchemy|infura
ca2-40ac2c3e107d3d88709a,ca2-40ac2c3e107d3d88709a.json,dd15364f8abf69484fdb29e2f767db4c8687e3df3402e2f0589988d8f422517b,VERIFIED,True,alchemy|infura
ca2-40ca8a9aca77ecfbfe71,ca2-40ca8a9aca77ecfbfe71.json,b40977a6619deb4692c96bc7382fd27af87ce3e7597c9f530c04c565c32d3ac8,VERIFIED,True,alchemy|infura
ca2-411b50fea47298d98579,ca2-411b50fea47298d98579.json,3738ad1a658d10843fd1a9da8abdd525b0a661eaaa56bc7b9dc5ae81c2503f9f,VERIFIED,True,alchemy|infura
ca2-4146cf0ae387533d1340,ca2-4146cf0ae387533d1340.json,5eee12bc52aad1c0221acbc88188c29825c5b0d02d54fae50ac3d4c917b30fdf,VERIFIED,True,alchemy|infura
ca2-421dd5bf165b069c74f3,ca2-421dd5bf165b069c74f3.json,8871abc96bd3a7c0f5c3e955a25eb3af59de09a0a572b7eb0b260c8b47d5a7c5,VERIFIED,True,alchemy|infura
ca2-42413804b9b826875275,ca2-42413804b9b826875275.json,9c36ea9a4f04d0748bd58c05270a7a148a615bbe3163b4ed3b4d38281b72e2ba,VERIFIED,True,alchemy|infura
ca2-429b8f8a4d1baf287471,ca2-429b8f8a4d1baf287471.json,229cade4a48c62a375c9cd4d3c6815abf89f3116064e8dcecfd60f1baa13cedc,VERIFIED,True,alchemy|infura
ca2-42dc2e766a267767f0d8,ca2-42dc2e766a267767f0d8.json,9f21e73cc160ee99d7138ffd823cdb9baa4eb29a7059d78a2ffb3f763dd78436,VERIFIED,True,alchemy|infura
