abstraction,identity_key,n_cases,n_chains,n_addresses,cross_chain,cross_address,chains,addresses,case_ids
chain_address,bsc:0x6ce69d7146dbaae18c11c36d8d94428623b29d5a,1,1,1,False,False,bsc,0x6ce69d7146dbaae18c11c36d8d94428623b29d5a,ca2-b54a80c704cbcc128875
chain_address,bsc:0x6f3390c6c200e9be81b32110ce191a293dc0eaba,1,1,1,False,False,bsc,0x6f3390c6c200e9be81b32110ce191a293dc0eaba,ca2-d6090a50e7b7e86d2afd
chain_address,bsc:0x6f40a3d0c89cffdc8a1af212a019c220a295e9bb,1,1,1,False,False,bsc,0x6f40a3d0c89cffdc8a1af212a019c220a295e9bb,ca2-9ed4dcb42bc3e395722f
chain_address,bsc:0x6fb2020c236bbd5a7ddeb07e14c9298642253333,1,1,1,False,False,bsc,0x6fb2020c236bbd5a7ddeb07e14c9298642253333,ca2-441ed1a86d9edadc1707
chain_address,bsc:0x700ee24c350739e323dcf6a50ae3e7a3329c86ae,1,1,1,False,False,bsc,0x700ee24c350739e323dcf6a50ae3e7a3329c86ae,ca2-0119280f82385cf56670
chain_address,bsc:0x7057f3b0f4d0649b428f0d8378a8a0e7d21d36a7,1,1,1,False,False,bsc,0x7057f3b0f4d0649b428f0d8378a8a0e7d21d36a7,ca2-9aabe02b00ee6b15427c
chain_address,bsc:0x70678291bddfd95498d1214be368e19e882f7614,1,1,1,False,False,bsc,0x70678291bddfd95498d1214be368e19e882f7614,ca2-b141324cdd440e7feb3e
chain_address,bsc:0x70873211cb64c1d4ec027ea63a399a7d07c4085b,1,1,1,False,False,bsc,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,ca2-549aa2c44edd65acedb7
chain_address,bsc:0x72c114a1a4abc65be2be3e356eede296dbb8ba4c,1,1,1,False,False,bsc,0x72c114a1a4abc65be2be3e356eede296dbb8ba4c,ca2-a2f6f3e29675d1bc32f6
chain_address,bsc:0x7314729d691fd074dbba03ca3c6ef3be61b31d34,1,1,1,False,False,bsc,0x7314729d691fd074dbba03ca3c6ef3be61b31d34,ca2-ca1ff798b4f84a39a35d
chain_address,bsc:0x760c2aaa22220f24b9343b2a91a62dd664953853,1,1,1,False,False,bsc,0x760c2aaa22220f24b9343b2a91a62dd664953853,ca2-324926ca92042b3a084e
chain_address,bsc:0x7ac55ac530f2c29659573bde0700c6758d69e677,1,1,1,False,False,bsc,0x7ac55ac530f2c29659573bde0700c6758d69e677,ca2-28489e4d5123e702b7a8
chain_address,bsc:0x7b8c378df8650373d82ceb1085a18fe34031784f,1,1,1,False,False,bsc,0x7b8c378df8650373d82ceb1085a18fe34031784f,ca2-e54f2002a25549da55ac
chain_address,bsc:0x7bacb1c805cbbf7c4f74556a4b34fde7793d0887,1,1,1,False,False,bsc,0x7bacb1c805cbbf7c4f74556a4b34fde7793d0887,ca2-ca180b9c5c90165fb523
chain_address,bsc:0x7c77576a2b48504ebd9ff0810d799651f68742d3,1,1,1,False,False,bsc,0x7c77576a2b48504ebd9ff0810d799651f68742d3,ca2-a1a34caf1169e8bc37ff
chain_address,bsc:0x7db3cbaf736c049933a3af28dbed4a4442aa89d0,1,1,1,False,False,bsc,0x7db3cbaf736c049933a3af28dbed4a4442aa89d0,ca2-b801a4d001ea7844b2c0
chain_address,bsc:0x7dda132dd57b773a94e27c5caa97834a73510429,1,1,1,False,False,bsc,0x7dda132dd57b773a94e27c5caa97834a73510429,ca2-1769b603523b156d5e27
chain_address,bsc:0x7e6c2522fee4e74a0182b9c6159048361bc3260a,1,1,1,False,False,bsc,0x7e6c2522fee4e74a0182b9c6159048361bc3260a,ca2-c3da8c67aae06b7ecce1
chain_address,bsc:0x7fdff64bf87bad52e6430bda30239bd182389ee3,1,1,1,False,False,bsc,0x7fdff64bf87bad52e6430bda30239bd182389ee3,ca2-3ae6d0e93f222f7571b2
chain_address,bsc:0x80121da952a74c06adc1d7f85a237089b57af347,1,1,1,False,False,bsc,0x80121da952a74c06adc1d7f85a237089b57af347,ca2-5d29f9c5eb314dcba612
chain_address,bsc:0x8087720eeea59f9f04787065447d52150c09643e,1,1,1,False,False,bsc,0x8087720eeea59f9f04787065447d52150c09643e,ca2-15ae4c22b54f390dc4fe
chain_address,bsc:0x80a0d7a6fd2a22982ce282933b384568e5c852bf,1,1,1,False,False,bsc,0x80a0d7a6fd2a22982ce282933b384568e5c852bf,ca2-c5a01f6581922c612fa6
chain_address,bsc:0x80df77b2ae5828ff499a735ee823d6cd7cf95f5a,1,1,1,False,False,bsc,0x80df77b2ae5828ff499a735ee823d6cd7cf95f5a,ca2-42413804b9b826875275
chain_address,bsc:0x810f4c6ae97bcc66da5ae6383cc31bd3670f6d13,1,1,1,False,False,bsc,0x810f4c6ae97bcc66da5ae6383cc31bd3670f6d13,ca2-351de4f0c9d0919d5212
chain_address,bsc:0x844fa82f1e54824655470970f7004dd90546bb28,1,1,1,False,False,bsc,0x844fa82f1e54824655470970f7004dd90546bb28,ca2-1110a2625b12e4b110c0
chain_address,bsc:0x84be9475051a08ee5364fba44de7fe83a5ecc4f1,1,1,1,False,False,bsc,0x84be9475051a08ee5364fba44de7fe83a5ecc4f1,ca2-b15231d961b437b62264
chain_address,bsc:0x86e06eafa6a1ea631eab51de500e3d474933739f,1,1,1,False,False,bsc,0x86e06eafa6a1ea631eab51de500e3d474933739f,ca2-b742b64a4c493234640e
chain_address,bsc:0x8785bb8deae13783b24d7afe250d42ea7d7e9d72,1,1,1,False,False,bsc,0x8785bb8deae13783b24d7afe250d42ea7d7e9d72,ca2-4565d5902877fc12ffa7
chain_address,bsc:0x88886f0fd371dff856291badced45922bc888888,1,1,1,False,False,bsc,0x88886f0fd371dff856291badced45922bc888888,ca2-698cd40308a0d9b400f7
chain_address,bsc:0x88b3eb62e363d9f153beab49c5c2ef2e785a375a,1,1,1,False,False,bsc,0x88b3eb62e363d9f153beab49c5c2ef2e785a375a,ca2-6673e21002a8af6f4d12
chain_address,bsc:0x8a6f7834a9d60090668f5db33fec353a7fb4704b,1,1,1,False,False,bsc,0x8a6f7834a9d60090668f5db33fec353a7fb4704b,ca2-11258a259a94c2ae2ec5
chain_address,bsc:0x8b7218cf6ac641382d7c723de8aa173e98a80196,1,1,1,False,False,bsc,0x8b7218cf6ac641382d7c723de8aa173e98a80196,ca2-9975357170a08c396c9a
chain_address,bsc:0x8bc6ce23e5e2c4f0a96429e3c9d482d74171215e,1,1,1,False,False,bsc,0x8bc6ce23e5e2c4f0a96429e3c9d482d74171215e,ca2-22ca428502dddf9f2871
chain_address,bsc:0x8bfaa473a899439d8e07bf86a8c6ce5de42fe54b,1,1,1,False,False,bsc,0x8bfaa473a899439d8e07bf86a8c6ce5de42fe54b,ca2-ffbe4d4d4db010d46d01
chain_address,bsc:0x8fd3d01cc65ea0e4dfffde7ec8159dc99a177f0a,1,1,1,False,False,bsc,0x8fd3d01cc65ea0e4dfffde7ec8159dc99a177f0a,ca2-95b35bd7c797a707a0fe
chain_address,bsc:0x93b621a9f8f1821a6a693a29672ca3d6612a2a7e,1,1,1,False,False,bsc,0x93b621a9f8f1821a6a693a29672ca3d6612a2a7e,ca2-5d15ea73c6fd71a4407d
chain_address,bsc:0x94e06c77b02ade8341489ab9a23451f68c13ec1c,1,1,1,False,False,bsc,0x94e06c77b02ade8341489ab9a23451f68c13ec1c,ca2-36def0144d519bbc5d86
chain_address,bsc:0x977087422c008233615b572fbc3f209ed300063a,1,1,1,False,False,bsc,0x977087422c008233615b572fbc3f209ed300063a,ca2-001b14467ef9b84b416a
chain_address,bsc:0x9823e10a0bf6f64f59964be1a7f83090bf5728ab,1,1,1,False,False,bsc,0x9823e10a0bf6f64f59964be1a7f83090bf5728ab,ca2-c066d2de3bfd20c10ce0
chain_address,bsc:0x99855380e5f48db0a6babeae312b80885a816dce,1,1,1,False,False,bsc,0x99855380e5f48db0a6babeae312b80885a816dce,ca2-ca16a95de7b24c723e35
chain_address,bsc:0x9ad90eeab3caff64a762cb40387ee1bb18bd31e3,1,1,1,False,False,bsc,0x9ad90eeab3caff64a762cb40387ee1bb18bd31e3,ca2-ba9bcac83757e0db9b90
chain_address,bsc:0x9ca66a67dc3d77beb59dc11caf96677843797c08,1,1,1,False,False,bsc,0x9ca66a67dc3d77beb59dc11caf96677843797c08,ca2-30b42ce7f2f4b08cf742
